Data/Hora,EPI,Status,Camera
2026-02-04 19:04:51,Abafador,AUSENTE,CloudCam: 1919-GLC-4821-CAM01,local
2026-02-04 19:04:51,Capacete,AUSENTE,CloudCam: 1919-GLC-4821-CAM01,local
2026-02-04 19:04:51,Mascara,AUSENTE,CloudCam: 1919-GLC-4821-CAM01,local
2026-02-04 19:04:51,Oculos,AUSENTE,CloudCam: 1919-GLC-4821-CAM01,local
2026-02-04 19:04:51,Bota,AUSENTE,CloudCam: 1919-GLC-4821-CAM01,local
2026-02-04 19:04:51,Luva,AUSENTE,CloudCam: 1919-GLC-4821-CAM01,local
2026-02-04 19:04:56,Capacete,PRESENTE,CloudCam: 1919-GLC-4821-CAM01,local
2026-02-04 19:05:02,Abafador,AUSENTE,CloudCam: 1919-GLC-4821-CAM01,local
2026-02-04 19:05:02,Capacete,AUSENTE,CloudCam: 1919-GLC-4821-CAM01,local
2026-02-04 19:05:02,Mascara,AUSENTE,CloudCam: 1919-GLC-4821-CAM01,local
2026-02-04 19:05:02,Oculos,AUSENTE,CloudCam: 1919-GLC-4821-CAM01,local
2026-02-04 19:05:02,Bota,AUSENTE,CloudCam: 1919-GLC-4821-CAM01,local
2026-02-04 19:05:02,Luva,AUSENTE,CloudCam: 1919-GLC-4821-CAM01,local
2026-02-04 19:05:07,Capacete,PRESENTE,CloudCam: 1919-GLC-4821-CAM01,local
2026-02-04 19:05:13,Abafador,AUSENTE,CloudCam: 1919-GLC-4821-CAM01,local
2026-02-04 19:05:13,Capacete,AUSENTE,CloudCam: 1919-GLC-4821-CAM01,local
2026-02-04 19:05:13,Mascara,AUSENTE,CloudCam: 1919-GLC-4821-CAM01,local
2026-02-04 19:05:13,Oculos,AUSENTE,CloudCam: 1919-GLC-4821-CAM01,local
2026-02-04 19:05:13,Bota,AUSENTE,CloudCam: 1919-GLC-4821-CAM01,local
2026-02-04 19:05:13,Luva,AUSENTE,CloudCam: 1919-GLC-4821-CAM01,local
2026-02-04 19:05:19,Capacete,PRESENTE,CloudCam: 1919-GLC-4821-CAM01,local
2026-02-04 19:05:24,Abafador,AUSENTE,CloudCam: 1919-GLC-4821-CAM01,local
2026-02-04 19:05:24,Capacete,AUSENTE,CloudCam: 1919-GLC-4821-CAM01,local
2026-02-04 19:05:24,Mascara,AUSENTE,CloudCam: 1919-GLC-4821-CAM01,local
2026-02-04 19:05:24,Oculos,AUSENTE,CloudCam: 1919-GLC-4821-CAM01,local
2026-02-04 19:05:24,Bota,AUSENTE,CloudCam: 1919-GLC-4821-CAM01,local
2026-02-04 19:05:25,Luva,AUSENTE,CloudCam: 1919-GLC-4821-CAM01,local
2026-02-04 19:05:30,Capacete,PRESENTE,CloudCam: 1919-GLC-4821-CAM01,local
2026-02-04 19:05:36,Abafador,AUSENTE,CloudCam: 1919-GLC-4821-CAM01,local
2026-02-04 19:05:36,Capacete,AUSENTE,CloudCam: 1919-GLC-4821-CAM01,local
2026-02-04 19:05:36,Mascara,AUSENTE,CloudCam: 1919-GLC-4821-CAM01,local
2026-02-04 19:05:36,Oculos,AUSENTE,CloudCam: 1919-GLC-4821-CAM01,local
2026-02-04 19:05:36,Bota,AUSENTE,CloudCam: 1919-GLC-4821-CAM01,local
2026-02-04 19:05:36,Luva,AUSENTE,CloudCam: 1919-GLC-4821-CAM01,local
2026-02-04 19:14:29,Abafador,AUSENTE,CloudCam: 1919-GLC-4821-CAM01,local
2026-02-04 19:14:29,Capacete,AUSENTE,CloudCam: 1919-GLC-4821-CAM01,local
2026-02-04 19:14:29,Pessoa,AUSENTE,CloudCam: 1919-GLC-4821-CAM01,local
2026-02-04 19:14:29,Mascara,AUSENTE,CloudCam: 1919-GLC-4821-CAM01,local
2026-02-04 19:14:29,Oculos,AUSENTE,CloudCam: 1919-GLC-4821-CAM01,local
2026-02-04 19:14:29,Bota,AUSENTE,CloudCam: 1919-GLC-4821-CAM01,local
2026-02-04 19:14:29,Luva,AUSENTE,CloudCam: 1919-GLC-4821-CAM01,local
2026-02-04 19:14:35,Capacete,PRESENTE,CloudCam: 1919-GLC-4821-CAM01,local
2026-02-04 19:14:41,Abafador,AUSENTE,CloudCam: 1919-GLC-4821-CAM01,local
2026-02-04 19:14:41,Capacete,AUSENTE,CloudCam: 1919-GLC-4821-CAM01,local
2026-02-04 19:14:41,Pessoa,AUSENTE,CloudCam: 1919-GLC-4821-CAM01,local
2026-02-04 19:14:41,Mascara,AUSENTE,CloudCam: 1919-GLC-4821-CAM01,local
2026-02-04 19:14:41,Oculos,AUSENTE,CloudCam: 1919-GLC-4821-CAM01,local
2026-02-04 19:14:41,Bota,AUSENTE,CloudCam: 1919-GLC-4821-CAM01,local
2026-02-04 19:14:41,Luva,AUSENTE,CloudCam: 1919-GLC-4821-CAM01,local
2026-02-04 19:14:47,Capacete,PRESENTE,CloudCam: 1919-GLC-4821-CAM01,local
2026-02-04 19:14:52,Abafador,AUSENTE,CloudCam: 1919-GLC-4821-CAM01,local
2026-02-04 19:14:52,Capacete,AUSENTE,CloudCam: 1919-GLC-4821-CAM01,local
2026-02-04 19:14:52,Pessoa,AUSENTE,CloudCam: 1919-GLC-4821-CAM01,local
2026-02-04 19:14:52,Mascara,AUSENTE,CloudCam: 1919-GLC-4821-CAM01,local
2026-02-04 19:14:52,Oculos,AUSENTE,CloudCam: 1919-GLC-4821-CAM01,local
2026-02-04 19:14:52,Bota,AUSENTE,CloudCam: 1919-GLC-4821-CAM01,local
2026-02-04 19:14:52,Luva,AUSENTE,CloudCam: 1919-GLC-4821-CAM01,local
2026-02-04 19:14:58,Capacete,PRESENTE,CloudCam: 1919-GLC-4821-CAM01,local
2026-02-04 19:15:02,Capacete,PRESENTE,CloudCam: 1919-GLC-4821-CAM02,local
2026-02-04 19:15:04,Abafador,AUSENTE,CloudCam: 1919-GLC-4821-CAM01,local
2026-02-04 19:15:04,Capacete,AUSENTE,CloudCam: 1919-GLC-4821-CAM01,local
2026-02-04 19:15:04,Pessoa,AUSENTE,CloudCam: 1919-GLC-4821-CAM01,local
2026-02-04 19:15:04,Mascara,AUSENTE,CloudCam: 1919-GLC-4821-CAM01,local
2026-02-04 19:15:04,Oculos,AUSENTE,CloudCam: 1919-GLC-4821-CAM01,local
2026-02-04 19:15:04,Bota,AUSENTE,CloudCam: 1919-GLC-4821-CAM01,local
2026-02-04 19:15:04,Luva,AUSENTE,CloudCam: 1919-GLC-4821-CAM01,local
2026-02-04 19:15:08,Capacete,PRESENTE,CloudCam: 1919-GLC-4821-CAM02,local
2026-02-04 19:15:10,Capacete,PRESENTE,CloudCam: 1919-GLC-4821-CAM01,local
2026-02-04 19:15:13,Capacete,PRESENTE,CloudCam: 1919-GLC-4821-CAM02,local
2026-02-04 19:15:15,Abafador,AUSENTE,CloudCam: 1919-GLC-4821-CAM01,local
2026-02-04 19:15:15,Capacete,AUSENTE,CloudCam: 1919-GLC-4821-CAM01,local
2026-02-04 19:15:16,Pessoa,AUSENTE,CloudCam: 1919-GLC-4821-CAM01,local
2026-02-04 19:15:16,Mascara,AUSENTE,CloudCam: 1919-GLC-4821-CAM01,local
2026-02-04 19:15:16,Oculos,AUSENTE,CloudCam: 1919-GLC-4821-CAM01,local
2026-02-04 19:15:16,Bota,AUSENTE,CloudCam: 1919-GLC-4821-CAM01,local
2026-02-04 19:15:16,Luva,AUSENTE,CloudCam: 1919-GLC-4821-CAM01,local
2026-02-04 19:15:19,Capacete,PRESENTE,CloudCam: 1919-GLC-4821-CAM02,local
2026-02-04 19:15:21,Capacete,PRESENTE,CloudCam: 1919-GLC-4821-CAM01,local
2026-02-04 19:15:25,Capacete,PRESENTE,CloudCam: 1919-GLC-4821-CAM02,local
2026-02-04 19:15:27,Abafador,AUSENTE,CloudCam: 1919-GLC-4821-CAM01,local
2026-02-04 19:15:27,Capacete,AUSENTE,CloudCam: 1919-GLC-4821-CAM01,local
2026-02-04 19:15:27,Pessoa,AUSENTE,CloudCam: 1919-GLC-4821-CAM01,local
2026-02-04 19:15:27,Mascara,AUSENTE,CloudCam: 1919-GLC-4821-CAM01,local
2026-02-04 19:15:27,Oculos,AUSENTE,CloudCam: 1919-GLC-4821-CAM01,local
2026-02-04 19:15:27,Bota,AUSENTE,CloudCam: 1919-GLC-4821-CAM01,local
2026-02-04 19:15:27,Luva,AUSENTE,CloudCam: 1919-GLC-4821-CAM01,local
